DATE,TIME,VOLTAGE,CURRENT,PF,POWER (KW),"""WEEKEND/WEEKDAY""",SEASON,Temp (F),Humidity (%),Substation Shutdown,F1,F2,F3,F4,Jul-Oct-,Rainy,0
01/01/2021,01-00,11.6,102,0.96,1967.38801489488,0,1,65,90,,,,,,Nov-Feb,Winter,1
,02-00,11.6,102,0.96,1967.38801489488,0,1,65,90,,,,,,Mar-Jun,Summer,2
,03-00,11.6,102,0.96,1967.38801489488,0,1,65,90,,,,,,,,
,04-00,11.3,130,0.96,2442.60733086593,0,1,78,49,,,,,,Weekend,1,
,05-00,11.2,148,0.96,2756.20552188112,0,1,78,49,,,,,,Weekday,0,
,06-00,11.2,172,0.96,3203.15776867266,0,1,78,49,,,,,,Missing Values,66,
,07-00,11.5,218,0.96,4168.56131959217,0,1,83,34,,,,,,,,
,08-00,11.2,274,0.96,5102.70481753668,0,1,83,34,,,,,,,,
,09-00,11.2,280,0.96,5214.44287923456,0,1,83,34,,,,,,,,
,10-00,11.5,254,0.96,4856.94759255234,0,1,81,42,,,,,,,,
,11-00,11.5,254,0.96,4856.94759255234,0,1,81,42,,,,,,,,
,12-00,11.5,243,0.96,4646.60734248118,0,1,81,42,,,,,,,,
,13-00,11.6,231,0.96,4455.5552102031,0,1,71,42,,,,,,,,
,14-00,11.8,214,0.96,4198.82371130201,0,1,71,87,,,,,,,,
,15-00,11.8,205,0.96,4022.23766736875,0,1,71,87,,,,,,,,
,16-00,11.7,215,0.96,4182.69485418193,0,1,67,87,,,,,,,,
,17-00,11.5,194,0.96,3709.63713761872,0,1,67,87,,,,,,,,
,18-00,11.7,44,0.96,855.993365507,0,1,67,87,,,,,,,,
,19-00,11.8,42,0.96,824.06820502189,0,1,66,88,,,,,,,,
,20-00,11.8,39,0.96,765.206190377469,0,1,66,88,,,,,,,,
,21-00,11.8,30,0.96,588.620146444207,0,1,66,88,,,,,,,,
,22-00,11.8,25,0.96,490.516788703506,0,1,62,89,,,,,,,,
,23-00,11.8,22,0.96,431.654774059085,0,1,62,89,,,,,,,,
,24-00,11.8,21,0.96,412.034102510945,0,1,62,89,,,,,,,,
01/02/2021,01-00,11.7,95,0.95,1828.91574898217,0,1,65,90,,,,,,,,
,02-00,11.7,95,0.95,1828.91574898217,0,1,65,90,,,,,,,,
,03-00,11.7,95,0.95,1828.91574898217,0,1,65,90,,,,,,,,
,04-00,11.5,100,0.95,1892.265507269,0,1,78,48,,,,,,,,
,05-00,11.4,135,0.95,2532.34488320608,0,1,78,48,,,,,,,,
,06-00,11.3,162,0.95,3012.15759791881,0,1,78,48,,,,,,,,
,07-00,11.5,213,0.95,4030.52553048297,0,1,83,32,,,,,,,,
,08-00,11.3,257,0.95,4778.54631274774,0,1,83,32,,,,,,,,
,09-00,11.3,258,0.95,4797.13987816699,0,1,83,32,,,,,,,,
,10-00,11.3,262,0.95,4871.514139844,0,1,80,38,,,,,,,,
,11-00,11.5,260,0.95,4919.89031889939,0,1,80,38,,,,,,,,
,12-00,11.6,256,0.95,4886.32317424871,0,1,80,38,,,,,,,,
,13-00,11.9,221,0.95,4327.36439788412,0,1,71,73,,,,,,,,
,14-00,11.6,225,0.95,4294.61997736703,0,1,71,73,,,,,,,,
,15-00,11.7,222,0.95,4273.88732920043,0,1,71,73,,,,,,,,
,16-00,11.7,208,0.95,4004.36290303464,0,1,67,88,,,,,,,,
,17-00,11.9,190,0.95,3720.35853211757,0,1,67,88,,,,,,,,
,18-00,11.7,46,0.95,885.580257401891,0,1,67,88,,,,,,,,
,19-00,11.8,43,0.95,834.900450772426,0,1,66,88,,,,,,,,
,20-00,11.8,40,0.95,776.651582113885,0,1,66,88,,,,,,,,
,21-00,11.8,34,0.95,660.153844796802,0,1,66,88,,,,,,,,
,22-00,11.8,26,0.95,504.823528374025,0,1,62,89,,,,,,,,
,23-00,11.8,23,0.950000000000001,446.574659715484,0,1,62,89,,,,,,,,
,24-00,11.6,114,0.950000000000001,2175.94078853263,0,1,62,89,,,,,,,,
01/03/2021,01-00,11.8,114,0.96,2236.75655648799,1,1,65,92,,,,,,,,
,02-00,11.8,114,0.96,2236.75655648799,1,1,65,92,,,,,,,,
,03-00,11.8,120,0.96,2354.48058577683,1,1,65,92,,,,,,,,
,04-00,11.8,128,0.96,2511.44595816195,1,1,77,52,,,,,,,,
,05-00,11.8,143,0.96,2805.75603138405,1,1,77,52,,,,,,,,
,06-00,11.5,168,0.96,3212.46927381415,1,1,77,52,,,,,,,,
,07-00,11.6,233,0.96,4494.13144578927,1,1,82,33,,,,,1,,,
,08-00,11.4,290,0.96,5497.1135710298,1,1,82,33,,,,,1,,,
,09-00,11.3,266,0.96,4997.95038469491,1,1,82,33,1,,,,,,,
,10-00,11.4,279,0.96,5288.60236661143,1,1,80,41,,,,,,,,
,11-00,11.4,272,0.96,5155.91341834519,1,1,80,41,,,,,,,,
,12-00,11.7,266,0.96,5174.86898238323,1,1,80,41,,,,,,,,
,13-00,11.8,254,0.96,4983.65057322762,1,1,71,76,,,,,,,,
,14-00,11.8,254,0.96,4983.65057322762,1,1,71,76,,,,,,,,
